service_id,date,exception_type
19OC28-CPBlock-Weekday-11,20191028,1
19OC28-CPBlock-Weekday-11,20191029,1
19OC28-CPBlock-Weekday-11,20191030,1
19OC28-CPBlock-Weekday-11,20191031,1
19OC28-CPBlock-Weekday-11,20191101,1
19OC28-CPBlock-Weekday-11,20191104,1
19OC28-CPBlock-Weekday-11,20191105,1
19OC28-CPBlock-Weekday-11,20191106,1
19OC28-CPBlock-Weekday-11,20191107,1
19OC28-CPBlock-Weekday-11,20191108,1
19OC28-CPBlock-Weekday-11,20191111,1
19OC28-CPBlock-Weekday-11,20191112,1
19OC28-CPBlock-Weekday-11,20191113,1
19OC28-CPBlock-Weekday-11,20191114,1
19OC28-CPBlock-Weekday-11,20191115,1
19OC28-CPBlock-Weekday-11,20191118,1
19OC28-CPBlock-Weekday-11,20191119,1
19OC28-CPBlock-Weekday-11,20191120,1
19OC28-CPBlock-Weekday-11,20191121,1
19OC28-CPBlock-Weekday-11,20191122,1
19OC28-CPBlock-Weekday-11,20191125,1
19OC28-CPBlock-Weekday-11,20191126,1
19OC28-CPBlock-Weekday-11,20191127,1
19OC28-CPBlock-Weekday-11,20191128,1
19OC28-CPBlock-Weekday-11,20191129,1
19OC28-CPBlock-Weekday-11,20191202,1
19OC28-CPBlock-Weekday-11,20191203,1
19OC28-CPBlock-Weekday-11,20191204,1
19OC28-CPBlock-Weekday-11,20191205,1
19OC28-CPBlock-Weekday-11,20191206,1
19OC28-CPBlock-Weekday-11,20191209,1
19OC28-CPBlock-Weekday-11,20191210,1
19OC28-CPBlock-Weekday-11,20191211,1
19OC28-CPBlock-Weekday-11,20191212,1
19OC28-CPBlock-Weekday-11,20191213,1
19OC28-CPBlock-Weekday-11,20191216,1
19OC28-CPBlock-Weekday-11,20191217,1
19OC28-CPBlock-Weekday-11,20191218,1
19OC28-CPBlock-Weekday-11,20191219,1
19OC28-CPBlock-Weekday-11,20191220,1
19OC28-CPBlock-Saturday-12,20191102,1
19OC28-CPBlock-Saturday-12,20191109,1
19OC28-CPBlock-Saturday-12,20191116,1
19OC28-CPBlock-Saturday-12,20191123,1
19OC28-CPBlock-Saturday-12,20191130,1
19OC28-CPBlock-Saturday-12,20191207,1
19OC28-CPBlock-Saturday-12,20191214,1
19OC28-CPBlock-Saturday-12,20191221,1
19OC28-CPBlock-Sunday-13,20191103,1
19OC28-CPBlock-Sunday-13,20191110,1
19OC28-CPBlock-Sunday-13,20191117,1
19OC28-CPBlock-Sunday-13,20191124,1
19OC28-CPBlock-Sunday-13,20191201,1
19OC28-CPBlock-Sunday-13,20191208,1
19OC28-CPBlock-Sunday-13,20191215,1
19OC28-CPBlock-Sunday-13,20191222,1
19OC28-MABlock-Weekday-21,20191028,1
19OC28-MABlock-Weekday-21,20191029,1
19OC28-MABlock-Weekday-21,20191030,1
19OC28-MABlock-Weekday-21,20191031,1
19OC28-MABlock-Weekday-21,20191101,1
19OC28-MABlock-Weekday-21,20191104,1
19OC28-MABlock-Weekday-21,20191105,1
19OC28-MABlock-Weekday-21,20191106,1
19OC28-MABlock-Weekday-21,20191107,1
19OC28-MABlock-Weekday-21,20191108,1
19OC28-MABlock-Weekday-21,20191111,1
19OC28-MABlock-Weekday-21,20191112,1
19OC28-MABlock-Weekday-21,20191113,1
19OC28-MABlock-Weekday-21,20191114,1
19OC28-MABlock-Weekday-21,20191115,1
19OC28-MABlock-Weekday-21,20191118,1
19OC28-MABlock-Weekday-21,20191119,1
19OC28-MABlock-Weekday-21,20191120,1
19OC28-MABlock-Weekday-21,20191121,1
19OC28-MABlock-Weekday-21,20191122,1
19OC28-MABlock-Weekday-21,20191125,1
19OC28-MABlock-Weekday-21,20191126,1
19OC28-MABlock-Weekday-21,20191127,1
19OC28-MABlock-Weekday-21,20191128,1
19OC28-MABlock-Weekday-21,20191129,1
19OC28-MABlock-Weekday-21,20191202,1
19OC28-MABlock-Weekday-21,20191203,1
19OC28-MABlock-Weekday-21,20191204,1
19OC28-MABlock-Weekday-21,20191205,1
19OC28-MABlock-Weekday-21,20191206,1
19OC28-MABlock-Weekday-21,20191209,1
19OC28-MABlock-Weekday-21,20191210,1
19OC28-MABlock-Weekday-21,20191211,1
19OC28-MABlock-Weekday-21,20191212,1
19OC28-MABlock-Weekday-21,20191213,1
19OC28-MABlock-Weekday-21,20191216,1
19OC28-MABlock-Weekday-21,20191217,1
19OC28-MABlock-Weekday-21,20191218,1
19OC28-MABlock-Weekday-21,20191219,1
19OC28-MABlock-Weekday-21,20191220,1
19OC28-MABlock-Saturday-22,20191102,1
19OC28-MABlock-Saturday-22,20191109,1
19OC28-MABlock-Saturday-22,20191116,1
19OC28-MABlock-Saturday-22,20191123,1
19OC28-MABlock-Saturday-22,20191130,1
19OC28-MABlock-Saturday-22,20191207,1
19OC28-MABlock-Saturday-22,20191214,1
19OC28-MABlock-Saturday-22,20191221,1
19OC28-MABlock-Sunday-23,20191103,1
19OC28-MABlock-Sunday-23,20191110,1
19OC28-MABlock-Sunday-23,20191117,1
19OC28-MABlock-Sunday-23,20191124,1
19OC28-MABlock-Sunday-23,20191201,1
19OC28-MABlock-Sunday-23,20191208,1
19OC28-MABlock-Sunday-23,20191215,1
19OC28-MABlock-Sunday-23,20191222,1
